V1	V2	SINGLE_REPEAT_TYPE	TYPE	support	interest	Padj	UniProtID	treatment	DOSE_LEVEL	SACRIFICE_PERIOD	Change	ID
R-RNO-912446	IP.mg.dL.	Single	pheno2reactome	0.00177935943060498	0.101423487544484	NA	NA	NA	NA	NA	NA	A1
R-RNO-912446	WBC.x10_2.uL.	Single	pheno2reactome	0.00177935943060498	0.0871077321255257	NA	NA	NA	NA	NA	NA	A2
R-RNO-912446	RBC.x10_4.ul.	Single	pheno2reactome	0.00177935943060498	0.0813205118497766	NA	NA	NA	NA	NA	NA	A3
R-RNO-912446	Ht...	Single	pheno2reactome	0.00177935943060498	0.0689744419281786	NA	NA	NA	NA	NA	NA	A4
R-RNO-912446	Hb.g.dL.	Single	pheno2reactome	0.00177935943060498	0.0607852140971186	NA	NA	NA	NA	NA	NA	A5
R-RNO-912446	LDH.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0526289409052178	NA	NA	NA	NA	NA	NA	A6
R-RNO-912446	PT.s.	Single	pheno2reactome	0.00177935943060498	0.0526289409052178	NA	NA	NA	NA	NA	NA	A7
R-RNO-912446	BUN.mg.dL.	Single	pheno2reactome	0.00177935943060498	0.0439332316556516	NA	NA	NA	NA	NA	NA	A8
R-RNO-912446	ALT.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0375683310709176	NA	NA	NA	NA	NA	NA	A9
R-RNO-912446	Single.cell.necrosis	Single	pheno2reactome	0.00177935943060498	0.0412651445479627	NA	NA	NA	NA	NA	NA	A10
R-RNO-912446	AST.IU.L.	Single	pheno2reactome	0.00177935943060498	0.031435349940688	NA	NA	NA	NA	NA	NA	A11
R-RNO-975578	Change..acidophilic	Single	pheno2reactome	0.00177935943060498	0.149876813577881	NA	NA	NA	NA	NA	NA	A12
R-RNO-975578	LDH.IU.L.	Single	pheno2reactome	0.00177935943060498	0.0526289409052178	NA	NA	NA	NA	NA	NA	A13
R-RNO-975578	Single.cell.necrosis	Single	pheno2reactome	0.00177935943060498	0.0412651445479627	NA	NA	NA	NA	NA	NA	A14
R-RNO-975578	AST.IU.L.	Single	pheno2reactome	0.00177935943060498	0.031435349940688	NA	NA	NA	NA	NA	NA	A15
R-RNO-1236974	A.G	Single	pheno2reactome	0.00177935943060498	0.0937418626855308	NA	NA	NA	NA	NA	NA	A16
R-RNO-1236974	Change..eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0503510628065788	NA	NA	NA	NA	NA	NA	A17
R-RNO-68949	A.G	Single	pheno2reactome	0.00177935943060498	0.0937418626855308	NA	NA	NA	NA	NA	NA	A18
R-RNO-68949	Change..eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0503510628065788	NA	NA	NA	NA	NA	NA	A19
R-RNO-187577	A.G	Single	pheno2reactome	0.00177935943060498	0.0937418626855308	NA	NA	NA	NA	NA	NA	A20
R-RNO-187577	Change..eosinophilic	Single	pheno2reactome	0.00177935943060498	0.0503510628065788	NA	NA	NA	NA	NA	NA	A21
R-RNO-156581	MCHC...	Single	pheno2reactome	0.00177935943060498	0.0914251821725131	NA	NA	NA	NA	NA	NA	A22
