V1	V1.name	V2	V2.name	SINGLE_REPEAT_TYPE	TYPE	support	interest	Padj	UniProtID	treatment	DOSE_LEVEL	SACRIFICE_PERIOD	Change	ID
C51285	2,4-dinitrophenol	2,4-dinitrophenol	2,4-dinitrophenol	NA	TCChem2TGChem	NA	NA	NA	NA	NA	NA	NA	NA	A21668
imatinib,_methanesulfonate_salt	imatinib,_methanesulfonate_salt	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_imatinib_methanesulfonate_salt_Low_9hr_Single	Low	9 hr	Increase	A9966
R-RNO-349425	Autodegradation of the E3 ubiquitin ligase COP1	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A352
ethionamide	ethionamide	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_ethionamide_Middle_15day_Repeat	Middle	15 day	Increase	A9442
R-RNO-4641257	degradation of AXIN	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A252
butylated_hydroxyanisole	butylated_hydroxyanisole	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_butylated_hydroxyanisole_Low_8day_Repeat	Low	8 day	Decrease	A8197
Hb.g.dL.	hemoglobin	A.G	albumin globulin ratio	Single	pheno2pheno	0.00533807829181495	NA	NA	NA	NA	NA	NA	NA	A16167
ethionamide	ethionamide	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_ethionamide_Low_15day_Repeat	Low	15 day	Increase	A9434
CRE.mg.dL.	creatinine	A.G	albumin globulin ratio	Single	pheno2pheno	0.00622775800711744	NA	NA	NA	NA	NA	NA	NA	A15962
imipramine	imipramine	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_imipramine_Middle_15day_Repeat	Middle	15 day	Decrease	A9993
R-RNO-174113	SCF-beta-TrCP mediated degradation of Emi1	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0468275323322628	NA	NA	NA	NA	NA	NA	A192
R-RNO-71032	Propionyl-CoA catabolism	A.G	albumin globulin ratio	Single	pheno2reactome	0.00266903914590747	0.0142259786476868	NA	NA	NA	NA	NA	NA	A901
ethanol	ethanol	A.G	albumin globulin ratio	Single	pheno2chem	NA	NA	NA	NA	Liver_ethanol_Middle_3hr_Single	Middle	3 hr	Increase	A9280
methylene_dianiline	methylene_dianiline	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_methylene_dianiline_Control_15day_Repeat	Control	15 day	Decrease	A10504
methylene_dianiline	methylene_dianiline	A.G	albumin globulin ratio	Repeat	pheno2chem	NA	NA	NA	NA	Liver_methylene_dianiline_High_29day_Repeat	High	29 day	Decrease	A10555
R-RNO-1236974	ER-Phagosome pathway	A.G	albumin globulin ratio	Single	pheno2reactome	0.00177935943060498	0.0937418626855308	NA	NA	NA	NA	NA	NA	A16
