ID	altID	Group	ClassUpper	ClassLower
acarbose	acarbose	Chem	chem	Inhibit absorption of dietary carbohydrates
acetaminophen	acetaminophen	Chem	chem	Inhibit eicosanoid biosynthesis
acetazolamide	acetazolamide	Chem	chem	Inhibit NaCl/ fluid reabsorption in kidney
ajmaline	ajmaline	Chem	chem	Block neural transmission
allopurinol	allopurinol	Chem	chem	Inhibit precursor synthesis
amiodarone	amiodarone	Chem	chem	Modulate G-protein coupled signal transduction
amiodarone	amiodarone	Chem	chem	Inhibit thyroid hormone biosynthesis
amiodarone	amiodarone	Chem	chem	Prolong/enhance neural transmission
amiodarone	amiodarone	Chem	chem	Modulate channel gating
amiodarone	amiodarone	Chem	chem	Block channel gating
amitriptyline	amitriptyline	Chem	chem	Prolong/enhance neural transmission
aspirin	aspirin	Chem	chem	Inhibit inflammatory response
aspirin	aspirin	Chem	chem	Inhibit eicosanoid biosynthesis
azathioprine	azathioprine	Chem	chem	Incorporate into DNA/RNA/Protein
azathioprine	azathioprine	Chem	chem	Inhibit precursor synthesis
bendazac	bendazac	Chem	chem	Inhibit eicosanoid biosynthesis
benzbromarone	benzbromarone	Chem	chem	Inhibit NaCl/ fluid reabsorption in kidney
caffeine	caffeine	Chem	chem	Reduce muscle contractile force
caffeine	caffeine	Chem	chem	Enhance kinase mediated signal transduction
caffeine	caffeine	Chem	chem	Reduce bronchoconstriction
captopril	captopril	Chem	chem	Reduce vasoconstriction
carbamazepine	carbamazepine	Chem	chem	Block neural transmission
carboplatin	carboplatin	Chem	chem	Inhibit DNA synthesis, repair, and function
cephalothin	cephalothin	Chem	chem	Inhibit bacterial cell wall biosynthesis
chloramphenicol	chloramphenicol	Chem	chem	Inhibit ribosomal protein synthesis
chlorpheniramine	chlorpheniramine	Chem	chem	Modulate G-protein coupled signal transduction
chlorpromazine	chlorpromazine	Chem	chem	Modulate G-protein coupled signal transduction
chlorpropamide	chlorpropamide	Chem	chem	Trigger insulin release in pancreatic beta cells
cimetidine	cimetidine	Chem	chem	Reduce stomach HCl secretion
ciprofloxacin	ciprofloxacin	Chem	chem	Inhibit bacterial DNA synthesis
cisplatin	cisplatin	Chem	chem	Inhibit DNA synthesis, repair, and function
clofibrate	clofibrate	Chem	chem	Increase lipid catabolism
clomipramine	clomipramine	Chem	chem	Prolong/enhance neural transmission
colchicine	colchicine	Chem	chem	Inhibit mitosis
coumarin	coumarin	Chem	chem	Inhibit platelet aggregation
cyclophosphamide	cyclophosphamide	Chem	chem	Enhance cholinergic transmission
cyclophosphamide	cyclophosphamide	Chem	chem	Inhibit DNA synthesis, repair, and function
danazol	danazol	Chem	chem	Modulate gene transcription
dantrolene	dantrolene	Chem	chem	Block channel gating
diazepam	diazepam	Chem	chem	Modulate neural transmission
diclofenac	diclofenac	Chem	chem	Inhibit eicosanoid biosynthesis
diltiazem	diltiazem	Chem	chem	Reduce muscle contractile force
disopyramide	disopyramide	Chem	chem	Increase muscle contraction
disopyramide	disopyramide	Chem	chem	Block neural transmission
disopyramide	disopyramide	Chem	chem	Trigger insulin release in pancreatic beta cells
disulfiram	disulfiram	Chem	chem	interfere with glucose metabolism
disulfiram	disulfiram	Chem	chem	Prolong/enhance neural transmission
disulfiram	disulfiram	Chem	chem	Interferes with neural transmitter synthesis
doxorubicin	doxorubicin	Chem	chem	Inhibit DNA synthesis, repair, and function
enalapril	enalapril	Chem	chem	Reduce vasoconstriction
ethambutol	ethambutol	Chem	chem	Inhibit fungal / microbial cell membrane biosynthesis
ethanol	ethanol	Chem	chem	Prolong/enhance neural transmission
ethanol	ethanol	Chem	chem	Modulate neural transmission
ethanol	ethanol	Chem	chem	Overload metabolic enzyme
ethinylestradiol	ethinylestradiol	Chem	chem	Modulate gene transcription
ethionamide	ethionamide	Chem	chem	Inhibit fungal / microbial cell membrane biosynthesis
etoposide	etoposide	Chem	chem	Inhibit DNA synthesis, repair, and function
famotidine	famotidine	Chem	chem	Reduce stomach HCl secretion
fenofibrate	fenofibrate	Chem	chem	Increase lipid catabolism
fluphenazine	fluphenazine	Chem	chem	Modulate G-protein coupled signal transduction
fluphenazine	fluphenazine	Chem	chem	Block neural transmission
flutamide	flutamide	Chem	chem	Modulate gene transcription
furosemide	furosemide	Chem	chem	Inhibit NaCl/ fluid reabsorption in kidney
gemfibrozil	gemfibrozil	Chem	chem	Increase lipid catabolism
gentamicin	gentamicin	Chem	chem	Inhibit ribosomal protein synthesis
griseofulvin	griseofulvin	Chem	chem	Inhibit mitosis
haloperidol	haloperidol	Chem	chem	Block neural transmission
haloperidol	haloperidol	Chem	chem	Modulate neural transmission
haloperidol	haloperidol	Chem	chem	Prolong/enhance neural transmission
haloperidol	haloperidol	Chem	chem	Reduce muscle contractile force
hydroxyzine	hydroxyzine	Chem	chem	Modulate G-protein coupled signal transduction
ibuprofen	ibuprofen	Chem	chem	Inhibit eicosanoid biosynthesis
imipramine	imipramine	Chem	chem	Prolong/enhance neural transmission
indomethacin	indomethacin	Chem	chem	Inhibit eicosanoid biosynthesis
iproniazid	iproniazid	Chem	chem	Prolong/enhance neural transmission
isoniazid	isoniazid	Chem	chem	Inhibit fungal / microbial cell membrane biosynthesis
ketoconazole	ketoconazole	Chem	chem	Inhibit fungal / microbial cell membrane biosynthesis
labetalol	labetalol	Chem	chem	Reduce vasoconstriction
labetalol	labetalol	Chem	chem	Modulate G-protein coupled signal transduction
lomustine	lomustine	Chem	chem	Inhibit DNA synthesis, repair, and function
lornoxicam	lornoxicam	Chem	chem	Inhibit eicosanoid biosynthesis
mefenamic acid	mefenamic acid	Chem	chem	Inhibit eicosanoid biosynthesis
meloxicam	meloxicam	Chem	chem	Inhibit eicosanoid biosynthesis
metformin	metformin	Chem	chem	Modulate signal transduction
metformin	metformin	Chem	chem	Modulate channel gating
metformin	metformin	Chem	chem	Stimulate insulin sensitive pathway
methapyrilene	methapyrilene	Chem	chem	Modulate G-protein coupled signal transduction
methimazole	methimazole	Chem	chem	Inhibit thyroid hormone biosynthesis
methyldopa	methyldopa	Chem	chem	Modulate G-protein coupled signal transduction
mexiletine	mexiletine	Chem	chem	Modulate channel gating
mexiletine	mexiletine	Chem	chem	Prolong/enhance neural transmission
naproxen	naproxen	Chem	chem	Inhibit eicosanoid biosynthesis
nifedipine	nifedipine	Chem	chem	Reduce muscle contractile force
