V1	V2	TYPE
C51285	2,4-dinitrophenol	TCChem2TGChem
C60355	acetamide	TCChem2TGChem
C103902	acetaminophen	TCChem2TGChem
C107186	allyl_alcohol	TCChem2TGChem
C50782	aspirin	TCChem2TGChem
C446866	azathioprine	TCChem2TGChem
C58082	caffeine	TCChem2TGChem
C298464	carbamazepine	TCChem2TGChem
C637070	clofibrate	TCChem2TGChem
C64868	colchicine	TCChem2TGChem
C91645	coumarin	TCChem2TGChem
C66819	cycloheximide	TCChem2TGChem
C97778	disulfiram	TCChem2TGChem
C49562289	fenofibrate	TCChem2TGChem
C13311847	flutamide	TCChem2TGChem
C25812300	gemfibrozil	TCChem2TGChem
C52868	haloperidol	TCChem2TGChem
C53861	indomethacin	TCChem2TGChem
C54853	isoniazid	TCChem2TGChem
C65277421	ketoconazole	TCChem2TGChem
C60560	methimazole	TCChem2TGChem
C59676	nicotinic_acid	TCChem2TGChem
C67209	nitrofurantoin	TCChem2TGChem
C59870	nitrofurazone	TCChem2TGChem
C66357355	ranitidine	TCChem2TGChem
C13292461	rifampicin	TCChem2TGChem
C83794	rotenone	TCChem2TGChem
C79902639	simvastatin	TCChem2TGChem
C599791	sulfasalazine	TCChem2TGChem
C10540291	tamoxifen	TCChem2TGChem
C1401554	tannic_acid	TCChem2TGChem
C60548	tetracycline	TCChem2TGChem
C58559	theophylline	TCChem2TGChem
C99661	valproic_acid	TCChem2TGChem
