NAME	BARCODE	TEST_TYPE	SINGLE_REPEAT_TYPE	ADMINISTRATION_ROUTE_TYPE	SACRIFICE_PERIOD	DOSE	DOSE_LEVEL	CATEGORY	VALUE
1	ACARBOSE	3017401025	in vivo	Single	Gavage	6 hr	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
2	ACARBOSE	3017396015	in vivo	Repeat	Gavage	15 day	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
3	ACARBOSE	3017400022	in vivo	Single	Gavage	24 hr	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
4	ACARBOSE	3017401007	in vivo	Single	Gavage	3 hr	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
5	ACARBOSE	3017395028	in vivo	Repeat	Gavage	4 day	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
6	ACARBOSE	3017401014	in vivo	Single	Gavage	3 hr	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
7	ACARBOSE	3017395029	in vivo	Repeat	Gavage	4 day	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
8	ACARBOSE	3017400012	in vivo	Single	Gavage	9 hr	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
9	ACARBOSE	3017400030	in vivo	Single	Gavage	24 hr	300	Middle	MECHANISM	Inhibit absorption of dietary carbohydrates
10	ACARBOSE	3017396005	in vivo	Repeat	Gavage	8 day	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
11	ACARBOSE	3017401001	in vivo	Single	Gavage	24 hr	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
12	ACARBOSE	3017400011	in vivo	Single	Gavage	9 hr	0	Control	MECHANISM	Inhibit absorption of dietary carbohydrates
13	ACARBOSE	3017401008	in vivo	Single	Gavage	3 hr	100	Low	MECHANISM	Inhibit absorption of dietary carbohydrates
14	ACARBOSE	3017401002	in vivo	Single	Gavage	24 hr	1000	High	MECHANISM	Inhibit absorption of dietary carbohydrates
