treatment	chems	SIN_REP_TYPE	SACRI_PERIOD	DOSE_LEVEL	Out	Change
Liver_1_cholesterol__025_sodium_cholate_Control_15day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	15 day	Control	WBC.x10_2.uL.	Decrease
Liver_1_cholesterol__025_sodium_cholate_Control_15day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	15 day	Control	LDH.IU.L.	Increase
Liver_1_cholesterol__025_sodium_cholate_Control_4day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	4 day	Control	Ht...	Decrease
Liver_1_cholesterol__025_sodium_cholate_Control_4day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	4 day	Control	WBC.x10_2.uL.	Decrease
Liver_1_cholesterol__025_sodium_cholate_Control_4day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	4 day	Control	MCHC...	Increase
Liver_1_cholesterol__025_sodium_cholate_Control_4day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	4 day	Control	RBC.x10_4.ul.	Decrease
Liver_1_cholesterol__025_sodium_cholate_Control_8day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	8 day	Control	WBC.x10_2.uL.	Decrease
Liver_1_cholesterol__025_sodium_cholate_High_15day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	15 day	High	Hb.g.dL.	Decrease
Liver_1_cholesterol__025_sodium_cholate_High_15day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	15 day	High	WBC.x10_2.uL.	Decrease
Liver_1_cholesterol__025_sodium_cholate_High_15day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	15 day	High	TC.mg.dL.	Increase
Liver_1_cholesterol__025_sodium_cholate_High_15day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	15 day	High	Ht...	Decrease
Liver_1_cholesterol__025_sodium_cholate_High_29day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	29 day	High	TC.mg.dL.	Increase
Liver_1_cholesterol__025_sodium_cholate_High_29day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	29 day	High	Cl.meq.L.	Decrease
Liver_1_cholesterol__025_sodium_cholate_High_29day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	29 day	High	WBC.x10_2.uL.	Decrease
Liver_1_cholesterol__025_sodium_cholate_High_29day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	29 day	High	LIVER.g.	Increase
Liver_1_cholesterol__025_sodium_cholate_High_4day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	4 day	High	MCHC...	Increase
Liver_1_cholesterol__025_sodium_cholate_High_4day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	4 day	High	RBC.x10_4.ul.	Decrease
Liver_1_cholesterol__025_sodium_cholate_High_4day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	4 day	High	Hb.g.dL.	Decrease
Liver_1_cholesterol__025_sodium_cholate_High_4day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	4 day	High	Ht...	Decrease
Liver_1_cholesterol__025_sodium_cholate_High_4day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	4 day	High	WBC.x10_2.uL.	Decrease
Liver_1_cholesterol__025_sodium_cholate_High_4day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	4 day	High	TC.mg.dL.	Increase
Liver_1_cholesterol__025_sodium_cholate_High_8day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	8 day	High	WBC.x10_2.uL.	Decrease
Liver_1_cholesterol__025_sodium_cholate_High_8day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	8 day	High	Ht...	Decrease
Liver_1_cholesterol__025_sodium_cholate_High_8day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	Repeat	8 day	High	TC.mg.dL.	Increase
Liver_24dinitrophenol_Control_15day_Repeat	2,4-dinitrophenol	Repeat	15 day	Control	Na.meq.L.	Decrease
Liver_24dinitrophenol_Control_29day_Repeat	2,4-dinitrophenol	Repeat	29 day	Control	TERMINAL_BW.g.	Increase
Liver_24dinitrophenol_Control_6hr_Single	2,4-dinitrophenol	Single	6 hr	Control	Mono...	Increase
Liver_24dinitrophenol_High_15day_Repeat	2,4-dinitrophenol	Repeat	15 day	High	Mono...	Increase
Liver_24dinitrophenol_High_15day_Repeat	2,4-dinitrophenol	Repeat	15 day	High	Ca.mg.dL.	Increase
Liver_24dinitrophenol_High_24hr_Single	2,4-dinitrophenol	Single	24 hr	High	Ca.mg.dL.	Increase
Liver_24dinitrophenol_High_3hr_Single	2,4-dinitrophenol	Single	3 hr	High	Na.meq.L.	Decrease
Liver_24dinitrophenol_High_3hr_Single	2,4-dinitrophenol	Single	3 hr	High	Ca.mg.dL.	Increase
