treatment	chems	SACRIFICE_PERIOD	DOSE_LEVEL	SIN_REP_TYPE	Out
Liver_1_cholesterol__025_sodium_cholate_High_15day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	15 day	High	Repeat	Degeneration..fatty
Liver_1_cholesterol__025_sodium_cholate_High_15day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	15 day	High	Repeat	Necrosis
Liver_1_cholesterol__025_sodium_cholate_High_15day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	15 day	High	Repeat	Cellular.infiltration..mononuclear.cell
Liver_1_cholesterol__025_sodium_cholate_High_29day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	29 day	High	Repeat	Degeneration..fatty
Liver_1_cholesterol__025_sodium_cholate_High_29day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	29 day	High	Repeat	Cellular.infiltration..mononuclear.cell
Liver_1_cholesterol__025_sodium_cholate_High_4day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	4 day	High	Repeat	Degeneration..fatty
Liver_1_cholesterol__025_sodium_cholate_High_4day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	4 day	High	Repeat	Deposit..glycogen
Liver_1_cholesterol__025_sodium_cholate_High_4day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	4 day	High	Repeat	Increased.mitosis
Liver_1_cholesterol__025_sodium_cholate_High_8day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	8 day	High	Repeat	Degeneration..fatty
Liver_1_cholesterol__025_sodium_cholate_High_8day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	8 day	High	Repeat	Cellular.infiltration..mononuclear.cell
Liver_1_cholesterol__025_sodium_cholate_High_8day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	8 day	High	Repeat	Deposit..glycogen
Liver_1_cholesterol__025_sodium_cholate_High_8day_Repeat	1%_cholesterol_+_0.25%_sodium_cholate	8 day	High	Repeat	Increased.mitosis
Liver_3methylcholanthrene_High_3hr_Single	3-methylcholanthrene	3 hr	High	Single	Increased.mitosis
Liver_3methylcholanthrene_High_3hr_Single	3-methylcholanthrene	3 hr	High	Single	Single.cell.necrosis
Liver_3methylcholanthrene_Low_3hr_Single	3-methylcholanthrene	3 hr	Low	Single	Increased.mitosis
Liver_3methylcholanthrene_Low_3hr_Single	3-methylcholanthrene	3 hr	Low	Single	Single.cell.necrosis
Liver_3methylcholanthrene_Middle_3hr_Single	3-methylcholanthrene	3 hr	Middle	Single	Increased.mitosis
Liver_3methylcholanthrene_Middle_3hr_Single	3-methylcholanthrene	3 hr	Middle	Single	Single.cell.necrosis
Liver_acarbose_Middle_29day_Repeat	acarbose	29 day	Middle	Repeat	Microgranuloma
Liver_acetamide_High_15day_Repeat	acetamide	15 day	High	Repeat	Increased.mitosis
Liver_acetamide_High_15day_Repeat	acetamide	15 day	High	Repeat	Single.cell.necrosis
Liver_acetamide_High_15day_Repeat	acetamide	15 day	High	Repeat	Anisonucleosis
Liver_acetamide_High_15day_Repeat	acetamide	15 day	High	Repeat	Pyknosis
Liver_acetamide_High_15day_Repeat	acetamide	15 day	High	Repeat	Change..acidophilic
Liver_acetamide_High_29day_Repeat	acetamide	29 day	High	Repeat	Anisonucleosis
Liver_acetamide_High_29day_Repeat	acetamide	29 day	High	Repeat	Pyknosis
