Label	CLID	CLSZ	NumAnn	Size	SampleMatch	Phyper	Padj	SampleKeys	Name
R-RNO-1059683	Liver_naproxen_High_6hr_Single	10	2304	8	2	0.0300564155820665	0.0300564155820665	P52631	Interleukin-6 signaling
R-RNO-1059683	Liver_diclofenac_Middle_9hr_Single	8	2300	8	2	0.0299594963973451	0.0299594963973451	P52631	Interleukin-6 signaling
R-RNO-1059683	Liver_dexamethasone_Low_24hr_Single	47	7899	8	6	6.90529697339999e-05	0.002002536122286	F1M9D6 Q6P6Q7	Interleukin-6 signaling
R-RNO-1059683	Liver_LPS_Middle_6hr_Single	379	25180	8	10	0	0	F1M9D6 P20607 P52631 Q62689 Q6P6Q7	Interleukin-6 signaling
R-RNO-1059683	Liver_indomethacin_High_6hr_Single	11	2777	8	2	0.0424133364623665	0.0424133364623665	P52631	Interleukin-6 signaling
R-RNO-1059683	Liver_carbon_tetrachloride_Middle_4day_Repeat	16	3884	8	4	0.000711402419490584	0.00640262177541525	F1M9D6 Q6P6Q7	Interleukin-6 signaling
R-RNO-111447	Liver_bortezomib_High_24hr_Single	706	37645	7	8	0	0	P35213 P63100 P63102 P68255 P68511	Activation of BAD and translocation to mitochondria 
R-RNO-111459	Liver_Nnitrosomorpholine_High_24hr_Single	614	31915	2	3	0	0	P55213 P62898	Activation of caspases through apoptosome-mediated cleavage
R-RNO-112409	Liver_diethyl_maleate_High_3hr_Single	47	7803	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_gentamicin_High_6hr_Single	9	3823	2	2	0.00340403176025956	0.00340403176025956	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_promethazine_High_29day_Repeat	58	11896	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_triazolam_Middle_8day_Repeat	12	5786	2	2	0.00779794944612317	0.00779794944612317	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_cycloheximide_Middle_6hr_Single	418	26458	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_isoniazid_High_3hr_Single	27	5642	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_bromoethylamine_High_3hr_Single	34	8183	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_cycloheximide_High_3hr_Single	289	15992	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_chlorpromazine_Middle_6hr_Single	32	7967	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_cycloheximide_Middle_9hr_Single	502	33018	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_cycloheximide_High_6hr_Single	479	27973	2	3	0	0	Q64346	RAF-independent MAPK1/3 activation
R-RNO-112409	Liver_promethazine_Low_6hr_Single	11	4621	2	2	0.00497366542028018	0.00497366542028018	Q64346	RAF-independent MAPK1/3 activation
