ID	altID	ClassUpper	ClassLower	Group
ACEA_T47D_80hr_Negative	ACEA_T47D_80hr_Negative	cell proliferation	cytotoxicity	Toxcast
ACEA_T47D_80hr_Positive	ACEA_T47D_80hr_Positive	cell proliferation	steroidal	Toxcast
APR_HepG2_CellCycleArrest_1h_dn	APR_HepG2_CellCycleArrest_1h_dn	cell cycle	proliferation	Toxcast
APR_HepG2_CellCycleArrest_1h_up	APR_HepG2_CellCycleArrest_1h_up	cell cycle	arrest	Toxcast
APR_HepG2_CellLoss_1h_dn	APR_HepG2_CellLoss_1h_dn	cell death	cytotoxicity	Toxcast
APR_HepG2_CellLoss_1h_up	APR_HepG2_CellLoss_1h_up	cell death	proliferation	Toxcast
APR_HepG2_MicrotubuleCSK_1h_dn	APR_HepG2_MicrotubuleCSK_1h_dn	protein stabilization	cell conformation	Toxcast
APR_HepG2_MicrotubuleCSK_1h_up	APR_HepG2_MicrotubuleCSK_1h_up	protein stabilization	cell conformation	Toxcast
APR_HepG2_MitoMass_1h_dn	APR_HepG2_MitoMass_1h_dn	cell cycle	organelle conformation	Toxcast
APR_HepG2_MitoMass_1h_up	APR_HepG2_MitoMass_1h_up	cell cycle	organelle conformation	Toxcast
APR_HepG2_MitoMembPot_1h_dn	APR_HepG2_MitoMembPot_1h_dn	mitochondrial depolarization	organelle conformation	Toxcast
APR_HepG2_MitoMembPot_1h_up	APR_HepG2_MitoMembPot_1h_up	mitochondrial depolarization	organelle conformation	Toxcast
APR_HepG2_MitoticArrest_1h_dn	APR_HepG2_MitoticArrest_1h_dn	cell cycle	proliferation	Toxcast
APR_HepG2_MitoticArrest_1h_up	APR_HepG2_MitoticArrest_1h_up	cell cycle	arrest	Toxcast
APR_HepG2_NuclearSize_1h_dn	APR_HepG2_NuclearSize_1h_dn	cell cycle	organelle conformation	Toxcast
APR_HepG2_NuclearSize_1h_up	APR_HepG2_NuclearSize_1h_up	cell cycle	organelle conformation	Toxcast
APR_HepG2_OxidativeStress_1h_dn	APR_HepG2_OxidativeStress_1h_dn	oxidative phosphorylation	stress response	Toxcast
APR_HepG2_OxidativeStress_1h_up	APR_HepG2_OxidativeStress_1h_up	oxidative phosphorylation	stress response	Toxcast
APR_HepG2_p53Act_1h_dn	APR_HepG2_p53Act_1h_dn	cell death	tumor suppressor	Toxcast
APR_HepG2_p53Act_1h_up	APR_HepG2_p53Act_1h_up	cell death	tumor suppressor	Toxcast
APR_HepG2_StressKinase_1h_dn	APR_HepG2_StressKinase_1h_dn	oxidative phosphorylation	stress response	Toxcast
APR_HepG2_StressKinase_1h_up	APR_HepG2_StressKinase_1h_up	oxidative phosphorylation	stress response	Toxcast
APR_HepG2_CellCycleArrest_24h_dn	APR_HepG2_CellCycleArrest_24h_dn	cell cycle	proliferation	Toxcast
APR_HepG2_CellCycleArrest_24h_up	APR_HepG2_CellCycleArrest_24h_up	cell cycle	arrest	Toxcast
APR_HepG2_CellLoss_24h_dn	APR_HepG2_CellLoss_24h_dn	cell death	cytotoxicity	Toxcast
APR_HepG2_CellLoss_24h_up	APR_HepG2_CellLoss_24h_up	cell death	proliferation	Toxcast
APR_HepG2_MicrotubuleCSK_24h_dn	APR_HepG2_MicrotubuleCSK_24h_dn	protein stabilization	cell conformation	Toxcast
APR_HepG2_MicrotubuleCSK_24h_up	APR_HepG2_MicrotubuleCSK_24h_up	protein stabilization	cell conformation	Toxcast
APR_HepG2_MitoMass_24h_dn	APR_HepG2_MitoMass_24h_dn	cell cycle	organelle conformation	Toxcast
APR_HepG2_MitoMass_24h_up	APR_HepG2_MitoMass_24h_up	cell cycle	organelle conformation	Toxcast
APR_HepG2_MitoMembPot_24h_dn	APR_HepG2_MitoMembPot_24h_dn	mitochondrial depolarization	organelle conformation	Toxcast
APR_HepG2_MitoMembPot_24h_up	APR_HepG2_MitoMembPot_24h_up	mitochondrial depolarization	organelle conformation	Toxcast
APR_HepG2_MitoticArrest_24h_dn	APR_HepG2_MitoticArrest_24h_dn	cell cycle	proliferation	Toxcast
APR_HepG2_MitoticArrest_24h_up	APR_HepG2_MitoticArrest_24h_up	cell cycle	arrest	Toxcast
APR_HepG2_NuclearSize_24h_dn	APR_HepG2_NuclearSize_24h_dn	cell cycle	organelle conformation	Toxcast
APR_HepG2_NuclearSize_24h_up	APR_HepG2_NuclearSize_24h_up	cell cycle	organelle conformation	Toxcast
APR_HepG2_OxidativeStress_24h_dn	APR_HepG2_OxidativeStress_24h_dn	oxidative phosphorylation	stress response	Toxcast
APR_HepG2_OxidativeStress_24h_up	APR_HepG2_OxidativeStress_24h_up	oxidative phosphorylation	stress response	Toxcast
APR_HepG2_p53Act_24h_dn	APR_HepG2_p53Act_24h_dn	cell death	tumor suppressor	Toxcast
APR_HepG2_p53Act_24h_up	APR_HepG2_p53Act_24h_up	cell death	tumor suppressor	Toxcast
APR_HepG2_StressKinase_24h_dn	APR_HepG2_StressKinase_24h_dn	oxidative phosphorylation	stress response	Toxcast
APR_HepG2_StressKinase_24h_up	APR_HepG2_StressKinase_24h_up	oxidative phosphorylation	stress response	Toxcast
APR_HepG2_CellCycleArrest_72h_dn	APR_HepG2_CellCycleArrest_72h_dn	cell cycle	proliferation	Toxcast
