V1	V2	Type	UniProtID
C100005	NVS_ENZ_hPDE5	TCA2TCC	NA
C100005	NVS_ENZ_hPTPN11	TCA2TCC	NA
C100005	NVS_ENZ_oCOX2	TCA2TCC	NA
C100016	ACEA_T47D_80hr_Negative	TCA2TCC	NA
C100016	BSK_SAg_Proliferation_down	TCA2TCC	NA
C100016	BSK_hDFCGF_Proliferation_down	TCA2TCC	NA
C100016	NVS_ADME_hCYP2A6	TCA2TCC	NA
C100016	NVS_ADME_hCYP2C19	TCA2TCC	NA
C100016	NVS_ENZ_rMAOAC	TCA2TCC	NA
C100016	NVS_ENZ_rMAOAP	TCA2TCC	NA
C100016	NVS_NR_cAR	TCA2TCC	NA
C100016	OT_FXR_FXRSRC1_1440	TCA2TCC	NA
C100016	OT_NURR1_NURR1RXRa_1440	TCA2TCC	NA
C100016	Tox21_ERa_BLA_Antagonist_ratio	TCA2TCC	NA
C100027	NVS_ENZ_hMMP1	TCA2TCC	NA
C100027	NVS_ENZ_hPTPN6_Activator	TCA2TCC	NA
C100027	NVS_ENZ_rMAOAC	TCA2TCC	NA
C100027	NVS_ENZ_rMAOBC	TCA2TCC	NA
C100027	NVS_ENZ_rMAOBP	TCA2TCC	NA
C100027	Tox21_MitochondrialToxicity_ratio	TCA2TCC	NA
C10016203	NVS_ENZ_oCOX2	TCA2TCC	NA
C10016203	NVS_NR_bER	TCA2TCC	NA
C10016203	NVS_NR_hAR	TCA2TCC	NA
C10016203	NVS_NR_hER	TCA2TCC	NA
C10016203	NVS_NR_mERa	TCA2TCC	NA
C10016203	Tox21_ARE_BLA_agonist_ratio	TCA2TCC	NA
C100210	OT_ER_ERaERb_1440	TCA2TCC	NA
C10025748	NVS_NR_cAR	TCA2TCC	NA
C10025748	NVS_NR_hRAR_Antagonist	TCA2TCC	NA
C10025748	OT_ERa_EREGFP_0480	TCA2TCC	NA
C100378	BSK_LPS_CD40_up	TCA2TCC	NA
C100378	BSK_LPS_TissueFactor_up	TCA2TCC	NA
C100378	NVS_ENZ_rMAOAP	TCA2TCC	NA
C100378	NVS_NR_hPR	TCA2TCC	NA
C10043353	APR_HepG2_CellCycleArrest_1h_up	TCA2TCC	NA
